timestep,label,count,mean_score,median_score,max_score
40,licit,1099,0.03574988,0.0010664728,0.9613957
40,unknown,3270,0.17560157,0.019706098,0.99887055
41,illicit,116,0.9317028,0.99039453,0.9990251
41,licit,1016,0.028157197,0.0007535328,0.8705391
41,unknown,4210,0.22720954,0.06926076,0.9993389
42,illicit,239,0.8140616,0.9951338,0.99971825
42,licit,1915,0.031140625,0.00039191847,0.93756974
42,unknown,4986,0.19724032,0.03475253,0.9991092
43,illicit,24,0.09419054,0.04683265,0.3720449
43,licit,1346,0.027982697,0.002318907,0.8641096
43,unknown,3693,0.13888158,0.016246567,0.99792504
44,illicit,24,0.14784119,0.03917384,0.95851284
44,licit,1567,0.06440331,0.006847175,0.99502146
44,unknown,3384,0.23678243,0.0710188,0.9998305
45,illicit,5,0.09231649,0.011670196,0.27718344
45,licit,1216,0.04358877,0.00068127154,0.95075494
45,unknown,4377,0.1729684,0.020646678,0.9990852
46,illicit,2,0.4775415,0.4775415,0.9357941
46,licit,710,0.03671166,0.00021290848,0.9810414
46,unknown,2807,0.19031088,0.047102556,0.99596184
47,illicit,22,0.020332383,0.014409885,0.07026535
47,licit,824,0.02340414,0.0003302816,0.8727646
47,unknown,4275,0.17542836,0.029219206,0.9990325
48,illicit,36,0.02977201,0.012409914,0.4078741
48,licit,435,0.015681183,0.00030882086,0.7717585
48,unknown,2483,0.21206331,0.06649575,0.99872005
49,illicit,56,0.03655246,0.007614347,0.92220205
49,licit,420,0.0438932,0.00062454364,0.9314377
49,unknown,1978,0.23493558,0.0824883,0.9983188
